Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
7,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,light-quantised,1
8,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,camerause,Yes
9,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,camerause-quantised,1
10,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,camera_brand,
11,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,distancefromscreen,15
12,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,lookphone,0
13,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,response-1,0
14,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,envdistraction,Yes
15,1668789996942,18/11/2022 16:46:36,1668789996578,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1668789996942,18/11/2022 16:46:36,1668789996578,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,response-2,Yep
17,1668789996942,18/11/2022 16:46:36,1668789996578,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,help,N/A
